country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
USA,MLS 2018,Philadelphia Union - San Jose Earthquakes,"Saturday, 07 Apr 2018, 23:00",1:1,Asianodds,2.01,1.84,3.6,4.05,3.3,4.37
USA,MLS 2018,Philadelphia Union - San Jose Earthquakes,"Saturday, 07 Apr 2018, 23:00",1:1,Marathonbet,1.95,1.83,3.8,3.96,4.0,4.4
USA,MLS 2018,Philadelphia Union - San Jose Earthquakes,"Saturday, 07 Apr 2018, 23:00",1:1,Pinnacle,1.92,1.82,3.81,3.99,4.13,4.46
Portugal,LigaPro 2016/2017,Gil Vicente - Penafiel,"Wednesday, 15 Mar 2017, 15:00",3:1,Marathonbet,2.6,2.15,3.0,3.3,3.2,3.8
Portugal,LigaPro 2016/2017,Gil Vicente - Penafiel,"Wednesday, 15 Mar 2017, 15:00",3:1,Pinnacle,2.6,2.35,3.15,3.19,3.04,3.43
Ireland,Premier Division 2011,UC Dublin - Sligo Rovers,"Saturday, 20 Aug 2011, 19:45",0:1,Pinnacle,7.16,8.17,4.49,4.67,1.5,1.45
England,League One 2013/2014,Wolves - MK Dons,"Saturday, 14 Dec 2013, 16:00",0:2,Marathonbet,1.85,1.75,3.6,3.95,4.7,4.85
England,League One 2013/2014,Wolves - MK Dons,"Saturday, 14 Dec 2013, 16:00",0:2,Pinnacle,1.83,1.81,3.66,3.91,4.77,4.64
China,Super League 2015,Zhejiang Greentown - Shijiazhuang,"Saturday, 19 Sep 2015, 11:35",1:1,Marathonbet,2.7,1.82,3.35,3.54,2.72,4.9
China,Super League 2015,Zhejiang Greentown - Shijiazhuang,"Saturday, 19 Sep 2015, 11:35",1:1,Pinnacle,1.88,1.76,3.41,3.5,4.77,5.49
Germany,3. Liga 2018/2019,Meppen - Hallescher,"Friday, 12 Apr 2019, 17:00",0:2,Asianodds,2.74,3.09,3.24,3.36,2.63,2.4
Germany,3. Liga 2018/2019,Meppen - Hallescher,"Friday, 12 Apr 2019, 17:00",0:2,Marathonbet,3.02,3.08,3.24,3.28,2.42,2.36
Germany,3. Liga 2018/2019,Meppen - Hallescher,"Friday, 12 Apr 2019, 17:00",0:2,Pinnacle,2.74,3.09,3.24,3.36,2.63,2.4
South Korea,K-League Classic 2014,Incheon - Jeju Utd,"Sunday, 24 Aug 2014, 11:00",0:0,Marathonbet,2.35,2.38,3.2,3.2,3.3,3.25
South Korea,K-League Classic 2014,Incheon - Jeju Utd,"Sunday, 24 Aug 2014, 11:00",0:0,Pinnacle,2.41,2.38,3.26,3.26,3.14,3.31
Germany,3. Liga 2015/2016,Werder Bremen II - VfL Osnabruck,"Saturday, 21 Nov 2015, 13:00",0:1,Marathonbet,3.64,3.38,3.35,3.44,2.18,2.24
Germany,3. Liga 2015/2016,Werder Bremen II - VfL Osnabruck,"Saturday, 21 Nov 2015, 13:00",0:1,Pinnacle,3.63,3.28,3.49,3.33,2.14,2.36
Japan,J-League 2014,Albirex Niigata - Shimizu,"Tuesday, 06 May 2014, 06:00",2:1,Marathonbet,2.2,2.06,3.45,3.6,3.55,3.8
Japan,J-League 2014,Albirex Niigata - Shimizu,"Tuesday, 06 May 2014, 06:00",2:1,Pinnacle,2.04,2.01,3.58,3.7,3.86,3.91
Germany,Bundesliga 2018/2019,Stuttgart - Werder Bremen,"Saturday, 29 Sep 2018, 13:30",2:1,Asianodds,2.35,2.91,3.35,3.45,2.82,2.57
Germany,Bundesliga 2018/2019,Stuttgart - Werder Bremen,"Saturday, 29 Sep 2018, 13:30",2:1,Marathonbet,2.25,2.91,3.44,3.42,3.58,2.57
Germany,Bundesliga 2018/2019,Stuttgart - Werder Bremen,"Saturday, 29 Sep 2018, 13:30",2:1,Pinnacle,2.46,2.91,3.28,3.43,3.07,2.57
Scotland,League One 2016/2017,East Fife - Brechin,"Saturday, 18 Feb 2017, 15:00",3:2,Marathonbet,2.05,2.05,3.7,3.55,3.6,3.8
Scotland,League One 2016/2017,East Fife - Brechin,"Saturday, 18 Feb 2017, 15:00",3:2,Pinnacle,2.05,2.13,3.48,3.4,3.92,3.75
Brazil,Série A 2011,Cruzeiro - Corinthians,"Sunday, 16 Oct 2011, 19:00",0:1,Pinnacle,2.9,2.42,3.45,3.62,2.54,3.02
Spain,Segunda Division 2013/2014,Girona - Alaves,"Friday, 16 Aug 2013, 20:00",1:0,Marathonbet,1.86,2.08,3.5,3.4,4.8,3.9
Spain,Segunda Division 2013/2014,Girona - Alaves,"Friday, 16 Aug 2013, 20:00",1:0,Pinnacle,1.85,2.37,3.49,3.19,4.95,3.45
Belgium,Jupiler League 2017/2018,Anderlecht - Gent,"Sunday, 01 Apr 2018, 16:00",0:2,Asianodds,1.97,2.53,3.4,3.3,3.35,2.82
Belgium,Jupiler League 2017/2018,Anderlecht - Gent,"Sunday, 01 Apr 2018, 16:00",0:2,Marathonbet,2.05,2.59,3.55,3.36,3.9,2.92
Belgium,Jupiler League 2017/2018,Anderlecht - Gent,"Sunday, 01 Apr 2018, 16:00",0:2,Pinnacle,2.03,2.57,3.46,3.31,4.02,2.94
Romania,Liga 1 2015/2016,U Craiova - Petrolul,"Sunday, 14 Feb 2016, 12:00",2:0,Marathonbet,1.98,2.2,3.3,3.2,4.5,3.78
Romania,Liga 1 2015/2016,U Craiova - Petrolul,"Sunday, 14 Feb 2016, 12:00",2:0,Pinnacle,2.09,2.11,3.31,3.26,4.0,4.0
Austria,Tipico Bundesliga 2014/2015,Ried - Grodig,"Saturday, 07 Mar 2015, 17:30",2:1,Marathonbet,2.2,1.98,3.5,3.5,3.5,4.25
Austria,Tipico Bundesliga 2014/2015,Ried - Grodig,"Saturday, 07 Mar 2015, 17:30",2:1,Pinnacle,2.07,1.88,3.69,3.59,3.64,4.65
Spain,LaLiga2 2016/2017,Zaragoza - Sevilla FC B,"Saturday, 18 Mar 2017, 19:30",1:2,Marathonbet,2.06,1.82,3.2,3.52,4.3,5.1
Spain,LaLiga2 2016/2017,Zaragoza - Sevilla FC B,"Saturday, 18 Mar 2017, 19:30",1:2,Pinnacle,2.05,1.93,3.3,3.51,4.26,4.52
Ukraine,Premier League 2018/2019,Mariupol - Ch. Odessa,"Saturday, 09 Mar 2019, 12:00",0:0,Asianodds,1.78,1.94,3.25,3.35,4.0,4.3
Ukraine,Premier League 2018/2019,Mariupol - Ch. Odessa,"Saturday, 09 Mar 2019, 12:00",0:0,Marathonbet,1.77,1.92,3.32,3.34,5.2,4.2
Brazil,Serie A 2019,Cruzeiro - Athletico-PR,"Saturday, 27 Jul 2019, 22:00",0:2,Asianodds,1.89,3.6,3.4,3.15,4.4,2.19
Brazil,Serie A 2019,Cruzeiro - Athletico-PR,"Saturday, 27 Jul 2019, 22:00",0:2,Marathonbet,1.87,3.44,3.48,3.22,4.4,2.23
Brazil,Serie A 2019,Cruzeiro - Athletico-PR,"Saturday, 27 Jul 2019, 22:00",0:2,Pinnacle,1.92,3.8,3.49,3.18,4.43,2.18
China,Super League 2019,Wuhan Zall - Beijing Renhe,"Sunday, 10 Mar 2019, 07:30",1:0,Asianodds,2.2,2.14,3.35,3.25,2.89,3.75
China,Super League 2019,Wuhan Zall - Beijing Renhe,"Sunday, 10 Mar 2019, 07:30",1:0,Marathonbet,2.18,2.11,3.32,3.25,3.4,3.66
China,Super League 2019,Wuhan Zall - Beijing Renhe,"Sunday, 10 Mar 2019, 07:30",1:0,Pinnacle,2.32,2.13,3.19,3.24,3.15,3.75
Greece,Super League,OFI Crete - Aris,"Saturday, 11 Jul 2020, 18:30",0:1,Asianodds,1.63,1.67,3.93,4.22,5.22,4.62
Greece,Super League,OFI Crete - Aris,"Saturday, 11 Jul 2020, 18:30",0:1,Marathonbet,1.73,1.66,3.92,4.25,4.65,4.75
Greece,Super League,OFI Crete - Aris,"Saturday, 11 Jul 2020, 18:30",0:1,Pinnacle,1.7,1.65,3.81,4.22,4.75,4.62
Japan,J-League 2011,Yokohama M. - Iwata,"Saturday, 20 Aug 2011, 11:00",1:0,Pinnacle,2.16,2.09,3.68,3.65,3.43,3.68
