country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
Germany,2. Bundesliga 2018/2019,Hamburger SV - Greuther Furth,"Monday, 04 Mar 2019, 19:30",1:0,Marathonbet,1.46,1.4,4.5,4.6,7.1,8.5
Germany,2. Bundesliga 2018/2019,Hamburger SV - Greuther Furth,"Monday, 04 Mar 2019, 19:30",1:0,Pinnacle,1.64,1.42,3.81,4.57,5.84,8.47
Netherlands,Eredivisie 2013/2014,Vitesse - Cambuur,"Sunday, 01 Dec 2013, 14:30",3:0,Marathonbet,1.35,1.38,5.3,5.3,10.5,8.9
Netherlands,Eredivisie 2013/2014,Vitesse - Cambuur,"Sunday, 01 Dec 2013, 14:30",3:0,Pinnacle,1.37,1.41,5.33,5.09,8.93,8.3
France,Ligue 1 2014/2015,Bordeaux - Lens,"Sunday, 05 Apr 2015, 12:00",2:1,Marathonbet,1.5,1.62,4.5,3.95,7.6,6.7
France,Ligue 1 2014/2015,Bordeaux - Lens,"Sunday, 05 Apr 2015, 12:00",2:1,Pinnacle,1.56,1.65,4.11,4.09,7.16,5.95
Brazil,Série A 2014,Goias - Bahia,"Sunday, 09 Nov 2014, 21:30",3:0,Marathonbet,1.85,2.1,3.45,3.3,5.1,4.05
Brazil,Série A 2014,Goias - Bahia,"Sunday, 09 Nov 2014, 21:30",3:0,Pinnacle,1.95,2.07,3.25,3.38,4.75,4.06
Germany,Bundesliga 2019/2020,Dortmund - Mainz,"Wednesday, 17 Jun 2020, 18:30",0:2,Asianodds,1.22,1.32,6.61,6.1,12.65,10.8
Germany,Bundesliga 2019/2020,Dortmund - Mainz,"Wednesday, 17 Jun 2020, 18:30",0:2,Marathonbet,1.27,1.32,7.4,6.25,12.5,11.75
Germany,Bundesliga 2019/2020,Dortmund - Mainz,"Wednesday, 17 Jun 2020, 18:30",0:2,Pinnacle,1.25,1.32,6.44,5.95,12.45,9.72
Croatia,1. HNL 2012/2013,Slaven Belupo - Zapresic,"Saturday, 23 Feb 2013, 15:00",2:2,Marathonbet,1.59,1.74,3.75,3.45,6.2,5.2
Croatia,1. HNL 2012/2013,Slaven Belupo - Zapresic,"Saturday, 23 Feb 2013, 15:00",2:2,Pinnacle,1.93,1.85,3.52,3.68,4.2,4.37
France,Ligue 1 2012/2013,Evian TG - Marseille,"Sunday, 10 Feb 2013, 14:00",1:1,Marathonbet,4.0,3.7,3.35,3.3,2.1,2.22
France,Ligue 1 2012/2013,Evian TG - Marseille,"Sunday, 10 Feb 2013, 14:00",1:1,Pinnacle,3.67,3.56,3.41,3.33,2.2,2.27
Italy,Serie A 2010/2011,Bologna - Chievo,"Wednesday, 08 Dec 2010, 14:00",2:1,Pinnacle,2.98,2.49,3.06,3.19,2.78,3.24
Brazil,Serie A 2019,Palmeiras - Flamengo RJ,"Sunday, 01 Dec 2019, 19:00",1:3,Asianodds,2.13,2.44,3.53,3.49,3.47,3.0
Brazil,Serie A 2019,Palmeiras - Flamengo RJ,"Sunday, 01 Dec 2019, 19:00",1:3,Marathonbet,2.15,2.39,3.36,3.34,3.48,3.02
Brazil,Serie A 2019,Palmeiras - Flamengo RJ,"Sunday, 01 Dec 2019, 19:00",1:3,Pinnacle,2.13,2.39,3.53,3.49,3.47,2.98
France,Ligue 1 2019/2020,Amiens - Nantes,"Saturday, 24 Aug 2019, 18:00",1:2,Asianodds,2.79,2.89,3.19,3.01,2.8,2.88
